,Date,Tweets,uncleaned_len,cleaned_len
41,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
42,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
43,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
44,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
45,2018-09-30 19:24, Raiders Poverty ,25,17
46,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
47,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
48,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
49,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
50,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
51,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
52,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
53,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
54,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
55,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
56,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
57,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
58,2018-09-30 18:45, Poverty is by Design Everyday I am reading post about new buildings going up Who are you catering too When our Homeless Youth housing is at an all time high support education investments house programming buildsrelationships poverty resources ,268,244
59,2018-09-30 18:43, Deep poverty BC government canand shouldend it PWD poverty bcpoli WFRZbmPiSo twitter via ccpa bc ,153,98
60,2018-09-30 18:43, Neoliberalism Has Failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe Australia ,316,195
61,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
62,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
63,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
64,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
65,2018-09-30 19:24, Raiders Poverty ,25,17
66,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
67,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
68,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
69,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
70,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
71,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
72,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
73,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
74,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
75,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
76,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
77,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
78,2018-09-30 18:45, Poverty is by Design Everyday I am reading post about new buildings going up Who are you catering too When our Homeless Youth housing is at an all time high support education investments house programming buildsrelationships poverty resources ,268,244
79,2018-09-30 18:43, Deep poverty BC government canand shouldend it PWD poverty bcpoli WFRZbmPiSo twitter via ccpa bc ,153,98
80,2018-09-30 18:43, Neoliberalism Has Failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe Australia ,316,195
81,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
82,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
83,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
84,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
85,2018-09-30 19:24, Raiders Poverty ,25,17
86,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
87,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
88,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
89,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
90,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
91,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
92,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
93,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
94,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
95,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
96,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
97,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
98,2018-09-30 18:45, Poverty is by Design Everyday I am reading post about new buildings going up Who are you catering too When our Homeless Youth housing is at an all time high support education investments house programming buildsrelationships poverty resources ,268,244
99,2018-09-30 18:43, Deep poverty BC government canand shouldend it PWD poverty bcpoli WFRZbmPiSo twitter via ccpa bc ,153,98
100,2018-09-30 18:43, Neoliberalism Has Failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe Australia ,316,195
101,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
102,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
103,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
104,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
105,2018-09-30 19:24, Raiders Poverty ,25,17
106,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
107,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
108,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
109,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
110,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
111,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
112,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
113,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
114,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
115,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
116,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
117,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
118,2018-09-30 18:45, Poverty is by Design Everyday I am reading post about new buildings going up Who are you catering too When our Homeless Youth housing is at an all time high support education investments house programming buildsrelationships poverty resources ,268,244
119,2018-09-30 18:43, Deep poverty BC government canand shouldend it PWD poverty bcpoli WFRZbmPiSo twitter via ccpa bc ,153,98
120,2018-09-30 18:43, Neoliberalism Has Failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe Australia ,316,195
121,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
122,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
123,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
124,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
125,2018-09-30 19:24, Raiders Poverty ,25,17
126,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
127,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
128,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
129,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
130,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
131,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
132,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
133,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
134,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
135,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
136,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
137,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
138,2018-09-30 18:45, Poverty is by Design Everyday I am reading post about new buildings going up Who are you catering too When our Homeless Youth housing is at an all time high support education investments house programming buildsrelationships poverty resources ,268,244
139,2018-09-30 18:43, Deep poverty BC government canand shouldend it PWD poverty bcpoli WFRZbmPiSo twitter via ccpa bc ,153,98
140,2018-09-30 18:43, Neoliberalism Has Failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe Australia ,316,195
141,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
142,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
143,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
144,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
145,2018-09-30 19:24, Raiders Poverty ,25,17
146,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
147,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
148,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
149,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
150,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
151,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
152,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
153,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
154,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
155,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
156,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
157,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
158,2018-09-30 18:45, Poverty is by Design Everyday I am reading post about new buildings going up Who are you catering too When our Homeless Youth housing is at an all time high support education investments house programming buildsrelationships poverty resources ,268,244
159,2018-09-30 18:43, Deep poverty BC government canand shouldend it PWD poverty bcpoli WFRZbmPiSo twitter via ccpa bc ,153,98
160,2018-09-30 18:43, Neoliberalism Has Failed austerity poverty inequality socialism communism cdnpoli uspoli auspol politics ukpolitics socialchange resist progressives conservatives usa uk canada europe Australia ,316,195
161,2018-09-30 19:39, Growing Food and Faith in Impoverished Brazil Ben Demblowski Brazil poverty pic habYYkP ,247,89
162,2018-09-30 19:37, In yrs Vietnam from poverty to an emerging market Ans oi Moi a series of eco political reforms trade liberalization deregulation lowering the cost of doing bus heavy investment in human physical capital Att PNG Pacific ,429,220
163,2018-09-30 19:37, The Politics of Poverty Officials grapple with what works and what doesnt Accountability PHLEd ,309,96
164,2018-09-30 19:29, Not just talking doing kenyalendahand kenya nairobi kibera jambo africa streetchildren humanrights street children humanity education ngo poverty activism volunteer ,292,166
165,2018-09-30 19:24, Raiders Poverty ,25,17
166,2018-09-30 19:23, For all those who believe the world has gone bonkers and we need to evolve into better humans follow up injustice poverty famine violence ViolenceAgainstWomen LGBTQTwiter EqualityForAll sexism racism inequality ,234,212
167,2018-09-30 19:13, Even Breathing Is A Risk In One Of Orlando s Poorest Neighborhoods Poverty Pollution AirQuality cleanair Florida environment publichealthpic aVRQVTWe ,207,151
168,2018-09-30 19:09, Maybe it s time to rethink the idea that we know better what other people need workingfamiliestaxcredit talkpoverty poverty ,192,125
169,2018-09-30 19:00, This is why I volunteer with Big Bros Big Sisters So many American kids are living in inhumane conditions under our noses Poverty KidsDeserveIt Fearlesspic IdDdhNiq ,191,166
170,2018-09-30 19:00, Americas children in brief Key national indicators of well being Forum on Child and Family Statistics kids poverty health wellness safety economy childcare education UCLACenterX JustNews UCLAGSEISpic UtkITllMa ,279,211
171,2018-09-30 18:56, Ism ite ology cameron grave yard politics pic PNRQBOS libdem Maximus Atos tory homeless pip esa poverty Mayhemism satire ,158,122
172,2018-09-30 18:55, Not once does Jesus mention anything about LGBTQ people politics news government Evangelicals evangelicalism church Christians Christianity poverty PoorPeoplesCampaign poor gop capitalism socialism USA America canada uk europe pic ulNsFPv ,379,240
173,2018-09-30 18:53, Six months ago on March still performed in Spain and helped ACTION AGAINST HUNGER through the sale of his merch Can you tell us what help has this provided What are your current projects TreatPeopleWithKindness Madrid poverty help solidarity ,348,243
174,2018-09-30 18:50, Fucks SAKE can you concentrate on something important you utter fucking doughnut assortment ToriesOUT poverty ,177,111
175,2018-09-30 18:49, Christianity CANNOT Be SAVED politics news government lgbtq evangelicalism Christians Christianity poverty poor gop capitalism socialism usa america canada uk europe Australia NewZealand ,311,188
176,2018-09-30 18:48, Conservatives Should Look In A Mirror government politics progressives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,310,190
177,2018-09-30 18:48, Everyones Basic Needs Should Be Met Government politics progressives conservatives socialism capitalism communism healthcare poverty poor inequality homelesss usa canada uk europe Australia NewZealand ,303,202
